delitopenal;comunidad;year;valor;variacioninteranual
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;EXTREMADURA;2022;379;20,32%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;EXTREMADURA;2019;315;4,30%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;EXTREMADURA;2021;302;20,32%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;EXTREMADURA;2020;251;-27,87%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;EXTREMADURA;2018;348;-7,20%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;EXTREMADURA;2017;375;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;GALICIA;2022;1182;23,90%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;GALICIA;2019;954;0,95%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;GALICIA;2021;945;17,98%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;GALICIA;2020;801;-14,97%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;GALICIA;2018;942;11,61%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;GALICIA;2017;844;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;MADRID (COMUNIDAD DE);2022;3164;29,57%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;MADRID (COMUNIDAD DE);2019;2442;-10,12%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;MADRID (COMUNIDAD DE);2021;2717;18,59%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;MADRID (COMUNIDAD DE);2020;2291;5,72%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;MADRID (COMUNIDAD DE);2018;2167;2,02%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;MADRID (COMUNIDAD DE);2017;2124;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;MURCIA (REGIÓN DE);2022;1157;56,99%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;MURCIA (REGIÓN DE);2019;737;-14,60%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;MURCIA (REGIÓN DE);2021;863;33,59%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;MURCIA (REGIÓN DE);2020;646;4,19%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;MURCIA (REGIÓN DE);2018;620;2,65%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;MURCIA (REGIÓN DE);2017;604;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;NAVARRA (COMUNIDAD FORAL DE);2022;403;0,25%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;NAVARRA (COMUNIDAD FORAL DE);2019;402;47,79%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;NAVARRA (COMUNIDAD FORAL DE);2021;272;36,68%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;NAVARRA (COMUNIDAD FORAL DE);2020;199;-47,35%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;NAVARRA (COMUNIDAD FORAL DE);2018;378;-2,58%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;NAVARRA (COMUNIDAD FORAL DE);2017;388;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;PAÍS VASCO;2022;1534;32,58%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;PAÍS VASCO;2019;1157;7,23%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;PAÍS VASCO;2021;1079;22,89%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;PAÍS VASCO;2020;878;-16,46%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;PAÍS VASCO;2018;1051;0,19%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;PAÍS VASCO;2017;1049;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;RIOJA (LA);2022;198;38,46%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;RIOJA (LA);2019;143;-11,18%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;RIOJA (LA);2021;161;34,17%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;RIOJA (LA);2020;120;-16,08%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;RIOJA (LA);2018;143;11,72%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;RIOJA (LA);2017;128;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;TOTAL NACIONAL;2022;26422;31,77%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;TOTAL NACIONAL;2019;20051;-0,99%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;TOTAL NACIONAL;2021;20252;26,47%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;TOTAL NACIONAL;2020;16013;-12,27%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;TOTAL NACIONAL;2018;18252;0,92%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;TOTAL NACIONAL;2017;18086;sin datos
    4. Secuestro;ANDALUCÍA;2022;22;-29,03%
    4. Secuestro;ANDALUCÍA;2019;31;14,81%
    4. Secuestro;ANDALUCÍA;2021;27;17,39%
    4. Secuestro;ANDALUCÍA;2020;23;-11,54%
    4. Secuestro;ANDALUCÍA;2018;26;73,33%
    4. Secuestro;ANDALUCÍA;2017;15;sin datos
    4. Secuestro;ARAGÓN;2022;1;-50,00%
    4. Secuestro;ARAGÓN;2019;2;0,00%
    4. Secuestro;ARAGÓN;2021;2;100,00%
    4. Secuestro;ARAGÓN;2020;1;100,00%
    4. Secuestro;ARAGÓN;2018;0;0,00%
    4. Secuestro;ARAGÓN;2017;0;sin datos
    4. Secuestro;ASTURIAS (PRINCIPADO DE);2022;1;100,00%
    4. Secuestro;ASTURIAS (PRINCIPADO DE);2019;0;0,00%
    4. Secuestro;ASTURIAS (PRINCIPADO DE);2021;0;-100,00%
    4. Secuestro;ASTURIAS (PRINCIPADO DE);2020;1;-66,67%
    4. Secuestro;ASTURIAS (PRINCIPADO DE);2018;3;300,00%
    4. Secuestro;ASTURIAS (PRINCIPADO DE);2017;0;sin datos
    4. Secuestro;BALEARS (ILLES);2022;4;-33,33%
    4. Secuestro;BALEARS (ILLES);2019;6;-14,29%
    4. Secuestro;BALEARS (ILLES);2021;7;75,00%
    4. Secuestro;BALEARS (ILLES);2020;4;300,00%
    4. Secuestro;BALEARS (ILLES);2018;1;100,00%
    4. Secuestro;BALEARS (ILLES);2017;0;sin datos
    4. Secuestro;CANARIAS;2022;1;0,00%
    4. Secuestro;CANARIAS;2019;1;100,00%
    4. Secuestro;CANARIAS;2021;0;-100,00%
    4. Secuestro;CANARIAS;2020;3;50,00%
    4. Secuestro;CANARIAS;2018;2;-50,00%
    4. Secuestro;CANARIAS;2017;4;sin datos
    4. Secuestro;CANTABRIA;2022;0;0,00%
    4. Secuestro;CANTABRIA;2019;0;-100,00%
    4. Secuestro;CANTABRIA;2021;1;-50,00%
    4. Secuestro;CANTABRIA;2020;2;200,00%
    4. Secuestro;CANTABRIA;2018;0;0,00%
    4. Secuestro;CANTABRIA;2017;0;sin datos
    4. Secuestro;CASTILLA - LA MANCHA;2022;2;100,00%
    4. Secuestro;CASTILLA - LA MANCHA;2019;1;-50,00%
    4. Secuestro;CASTILLA - LA MANCHA;2021;2;-60,00%
    4. Secuestro;CASTILLA - LA MANCHA;2020;5;0,00%
    4. Secuestro;CASTILLA - LA MANCHA;2018;5;150,00%
    4. Secuestro;CASTILLA - LA MANCHA;2017;2;sin datos
    4. Secuestro;CASTILLA Y LEÓN;2022;3;50,00%
    4. Secuestro;CASTILLA Y LEÓN;2019;2;0,00%
    4. Secuestro;CASTILLA Y LEÓN;2021;2;0,00%
    4. Secuestro;CASTILLA Y LEÓN;2020;2;0,00%
    4. Secuestro;CASTILLA Y LEÓN;2018;2;0,00%
    4. Secuestro;CASTILLA Y LEÓN;2017;2;sin datos
    4. Secuestro;CATALUÑA;2022;9;50,00%
    4. Secuestro;CATALUÑA;2019;6;-45,45%
    4. Secuestro;CATALUÑA;2021;11;266,67%
    4. Secuestro;CATALUÑA;2020;3;-40,00%
    4. Secuestro;CATALUÑA;2018;5;-50,00%
    4. Secuestro;CATALUÑA;2017;10;sin datos
    4. Secuestro;CIUDAD AUTÓNOMA DE CEUTA;2022;1;-50,00%
    4. Secuestro;CIUDAD AUTÓNOMA DE CEUTA;2019;2;-33,33%
    4. Secuestro;CIUDAD AUTÓNOMA DE CEUTA;2021;3;300,00%
    4. Secuestro;CIUDAD AUTÓNOMA DE CEUTA;2020;0;0,00%
    4. Secuestro;CIUDAD AUTÓNOMA DE CEUTA;2018;0;-100,00%
    4. Secuestro;CIUDAD AUTÓNOMA DE CEUTA;2017;1;sin datos
    4. Secuestro;CIUDAD AUTÓNOMA DE MELILLA;2022;0;0,00%
    4. Secuestro;CIUDAD AUTÓNOMA DE MELILLA;2019;0;0,00%
    4. Secuestro;CIUDAD AUTÓNOMA DE MELILLA;2021;0;0,00%
    4. Secuestro;CIUDAD AUTÓNOMA DE MELILLA;2020;0;0,00%
    4. Secuestro;CIUDAD AUTÓNOMA DE MELILLA;2018;0;0,00%
    4. Secuestro;CIUDAD AUTÓNOMA DE MELILLA;2017;0;sin datos
    4. Secuestro;COMUNITAT VALENCIANA;2022;10;150,00%
    4. Secuestro;COMUNITAT VALENCIANA;2019;4;-42,86%
    4. Secuestro;COMUNITAT VALENCIANA;2021;7;-50,00%
    4. Secuestro;COMUNITAT VALENCIANA;2020;14;133,33%
    4. Secuestro;COMUNITAT VALENCIANA;2018;6;50,00%
    4. Secuestro;COMUNITAT VALENCIANA;2017;4;sin datos
    4. Secuestro;EN EL EXTRANJERO;2022;2;-60,00%
    4. Secuestro;EN EL EXTRANJERO;2019;5;-50,00%
    4. Secuestro;EN EL EXTRANJERO;2021;10;400,00%
    4. Secuestro;EN EL EXTRANJERO;2020;2;-66,67%
    4. Secuestro;EN EL EXTRANJERO;2018;6;-33,33%
    4. Secuestro;EN EL EXTRANJERO;2017;9;sin datos
    4. Secuestro;EXTREMADURA;2022;1;0,00%
    4. Secuestro;EXTREMADURA;2019;1;100,00%
    4. Secuestro;EXTREMADURA;2021;0;0,00%
    4. Secuestro;EXTREMADURA;2020;0;0,00%
    4. Secuestro;EXTREMADURA;2018;0;-100,00%
    4. Secuestro;EXTREMADURA;2017;1;sin datos
    4. Secuestro;GALICIA;2022;2;100,00%
    4. Secuestro;GALICIA;2019;1;100,00%
    4. Secuestro;GALICIA;2021;0;0,00%
    4. Secuestro;GALICIA;2020;0;-100,00%
    4. Secuestro;GALICIA;2018;2;-50,00%
    4. Secuestro;GALICIA;2017;4;sin datos
    4. Secuestro;MADRID (COMUNIDAD DE);2022;14;-12,50%
    4. Secuestro;MADRID (COMUNIDAD DE);2019;16;23,08%
    4. Secuestro;MADRID (COMUNIDAD DE);2021;13;30,00%
    4. Secuestro;MADRID (COMUNIDAD DE);2020;10;-16,67%
    4. Secuestro;MADRID (COMUNIDAD DE);2018;12;71,43%
    4. Secuestro;MADRID (COMUNIDAD DE);2017;7;sin datos
    4. Secuestro;MURCIA (REGIÓN DE);2022;6;100,00%
    4. Secuestro;MURCIA (REGIÓN DE);2019;3;0,00%
    4. Secuestro;MURCIA (REGIÓN DE);2021;3;200,00%
    4. Secuestro;MURCIA (REGIÓN DE);2020;1;-66,67%
    4. Secuestro;MURCIA (REGIÓN DE);2018;3;300,00%
    4. Secuestro;MURCIA (REGIÓN DE);2017;0;sin datos
    4. Secuestro;NAVARRA (COMUNIDAD FORAL DE);2022;2;100,00%
    4. Secuestro;NAVARRA (COMUNIDAD FORAL DE);2019;1;-80,00%
    4. Secuestro;NAVARRA (COMUNIDAD FORAL DE);2021;5;25,00%
    4. Secuestro;NAVARRA (COMUNIDAD FORAL DE);2020;4;33,33%
    4. Secuestro;NAVARRA (COMUNIDAD FORAL DE);2018;3;200,00%
    4. Secuestro;NAVARRA (COMUNIDAD FORAL DE);2017;1;sin datos
    4. Secuestro;PAÍS VASCO;2022;4;-42,86%
    4. Secuestro;PAÍS VASCO;2019;7;75,00%
    4. Secuestro;PAÍS VASCO;2021;4;0,00%
    4. Secuestro;PAÍS VASCO;2020;4;-20,00%
    4. Secuestro;PAÍS VASCO;2018;5;-44,44%
    4. Secuestro;PAÍS VASCO;2017;9;sin datos
    4. Secuestro;RIOJA (LA);2022;0;0,00%
    4. Secuestro;RIOJA (LA);2019;0;0,00%
    4. Secuestro;RIOJA (LA);2021;0;0,00%
    4. Secuestro;RIOJA (LA);2020;0;0,00%
    4. Secuestro;RIOJA (LA);2018;0;0,00%
    4. Secuestro;RIOJA (LA);2017;0;sin datos
    4. Secuestro;TOTAL NACIONAL;2022;85;-4,49%
    4. Secuestro;TOTAL NACIONAL;2019;89;-8,25%
    4. Secuestro;TOTAL NACIONAL;2021;97;22,78%
    4. Secuestro;TOTAL NACIONAL;2020;79;-2,47%
    4. Secuestro;TOTAL NACIONAL;2018;81;17,39%
    4. Secuestro;TOTAL NACIONAL;2017;69;sin datos
    5. Delitos contra la libertad sexual;ANDALUCÍA;2022;2666;22,41%
    5. Delitos contra la libertad sexual;ANDALUCÍA;2019;2178;-6,84%
    5. Delitos contra la libertad sexual;ANDALUCÍA;2021;2338;5,55%
    5. Delitos contra la libertad sexual;ANDALUCÍA;2020;2215;-5,66%
    5. Delitos contra la libertad sexual;ANDALUCÍA;2018;2348;13,76%
    5. Delitos contra la libertad sexual;ANDALUCÍA;2017;2064;sin datos
    5. Delitos contra la libertad sexual;ARAGÓN;2022;382;32,64%
    5. Delitos contra la libertad sexual;ARAGÓN;2019;288;-25,77%
    5. Delitos contra la libertad sexual;ARAGÓN;2021;388;26,38%
    5. Delitos contra la libertad sexual;ARAGÓN;2020;307;-10,76%
    5. Delitos contra la libertad sexual;ARAGÓN;2018;344;25,55%
    5. Delitos contra la libertad sexual;ARAGÓN;2017;274;sin datos
    5. Delitos contra la libertad sexual;ASTURIAS (PRINCIPADO DE);2022;240;40,35%
    5. Delitos contra la libertad sexual;ASTURIAS (PRINCIPADO DE);2019;171;-24,00%
    5. Delitos contra la libertad sexual;ASTURIAS (PRINCIPADO DE);2021;225;4,65%
    5. Delitos contra la libertad sexual;ASTURIAS (PRINCIPADO DE);2020;215;3,86%
    5. Delitos contra la libertad sexual;ASTURIAS (PRINCIPADO DE);2018;207;41,78%
    5. Delitos contra la libertad sexual;ASTURIAS (PRINCIPADO DE);2017;146;sin datos
    5. Delitos contra la libertad sexual;BALEARS (ILLES);2022;856;22,29%
    5. Delitos contra la libertad sexual;BALEARS (ILLES);2019;700;-1,96%
    5. Delitos contra la libertad sexual;BALEARS (ILLES);2021;714;37,31%
    5. Delitos contra la libertad sexual;BALEARS (ILLES);2020;520;-10,96%
    5. Delitos contra la libertad sexual;BALEARS (ILLES);2018;584;12,96%
    5. Delitos contra la libertad sexual;BALEARS (ILLES);2017;517;sin datos
    5. Delitos contra la libertad sexual;CANARIAS;2022;1052;35,22%
    5. Delitos contra la libertad sexual;CANARIAS;2019;778;-9,43%
    5. Delitos contra la libertad sexual;CANARIAS;2021;859;-1,72%
    5. Delitos contra la libertad sexual;CANARIAS;2020;874;16,38%
    5. Delitos contra la libertad sexual;CANARIAS;2018;751;20,16%
    5. Delitos contra la libertad sexual;CANARIAS;2017;625;sin datos
    5. Delitos contra la libertad sexual;CANTABRIA;2022;140;57,30%
    5. Delitos contra la libertad sexual;CANTABRIA;2019;89;-22,61%
    5. Delitos contra la libertad sexual;CANTABRIA;2021;115;29,21%
    5. Delitos contra la libertad sexual;CANTABRIA;2020;89;-12,75%
    5. Delitos contra la libertad sexual;CANTABRIA;2018;102;21,43%
    5. Delitos contra la libertad sexual;CANTABRIA;2017;84;sin datos
    5. Delitos contra la libertad sexual;CASTILLA - LA MANCHA;2022;549;22,27%
    5. Delitos contra la libertad sexual;CASTILLA - LA MANCHA;2019;449;-11,96%
    5. Delitos contra la libertad sexual;CASTILLA - LA MANCHA;2021;510;13,08%
    5. Delitos contra la libertad sexual;CASTILLA - LA MANCHA;2020;451;-7,77%
    5. Delitos contra la libertad sexual;CASTILLA - LA MANCHA;2018;489;31,81%
    5. Delitos contra la libertad sexual;CASTILLA - LA MANCHA;2017;371;sin datos
    5. Delitos contra la libertad sexual;CASTILLA Y LEÓN;2022;535;28,61%
    5. Delitos contra la libertad sexual;CASTILLA Y LEÓN;2019;416;-11,49%
    5. Delitos contra la libertad sexual;CASTILLA Y LEÓN;2021;470;12,17%
    5. Delitos contra la libertad sexual;CASTILLA Y LEÓN;2020;419;-5,42%
    5. Delitos contra la libertad sexual;CASTILLA Y LEÓN;2018;443;20,38%
    5. Delitos contra la libertad sexual;CASTILLA Y LEÓN;2017;368;sin datos
    5. Delitos contra la libertad sexual;CATALUÑA;2022;3498;24,22%
    5. Delitos contra la libertad sexual;CATALUÑA;2019;2816;-11,39%
    5. Delitos contra la libertad sexual;CATALUÑA;2021;3178;37,64%
    5. Delitos contra la libertad sexual;CATALUÑA;2020;2309;-11,12%
    5. Delitos contra la libertad sexual;CATALUÑA;2018;2598;17,45%
    5. Delitos contra la libertad sexual;CATALUÑA;2017;2212;sin datos
    5. Delitos contra la libertad sexual;CIUDAD AUTÓNOMA DE CEUTA;2022;42;100,00%
    5. Delitos contra la libertad sexual;CIUDAD AUTÓNOMA DE CEUTA;2019;21;-53,33%
    5. Delitos contra la libertad sexual;CIUDAD AUTÓNOMA DE CEUTA;2021;45;18,42%
    5. Delitos contra la libertad sexual;CIUDAD AUTÓNOMA DE CEUTA;2020;38;-24,00%
    5. Delitos contra la libertad sexual;CIUDAD AUTÓNOMA DE CEUTA;2018;50;100,00%
    5. Delitos contra la libertad sexual;CIUDAD AUTÓNOMA DE CEUTA;2017;25;sin datos
    5. Delitos contra la libertad sexual;CIUDAD AUTÓNOMA DE MELILLA;2022;22;-31,25%
    5. Delitos contra la libertad sexual;CIUDAD AUTÓNOMA DE MELILLA;2019;32;-15,79%
    5. Delitos contra la libertad sexual;CIUDAD AUTÓNOMA DE MELILLA;2021;38;11,76%
    5. Delitos contra la libertad sexual;CIUDAD AUTÓNOMA DE MELILLA;2020;34;25,93%
    5. Delitos contra la libertad sexual;CIUDAD AUTÓNOMA DE MELILLA;2018;27;-6,90%
    5. Delitos contra la libertad sexual;CIUDAD AUTÓNOMA DE MELILLA;2017;29;sin datos
    5. Delitos contra la libertad sexual;COMUNITAT VALENCIANA;2022;2203;45,80%
    5. Delitos contra la libertad sexual;COMUNITAT VALENCIANA;2019;1511;-22,51%
    5. Delitos contra la libertad sexual;COMUNITAT VALENCIANA;2021;1950;27,12%
    5. Delitos contra la libertad sexual;COMUNITAT VALENCIANA;2020;1534;-3,16%
    5. Delitos contra la libertad sexual;COMUNITAT VALENCIANA;2018;1584;17,51%
    5. Delitos contra la libertad sexual;COMUNITAT VALENCIANA;2017;1348;sin datos
    5. Delitos contra la libertad sexual;EN EL EXTRANJERO;2022;80;42,86%
    5. Delitos contra la libertad sexual;EN EL EXTRANJERO;2019;56;36,59%
    5. Delitos contra la libertad sexual;EN EL EXTRANJERO;2021;41;-2,38%
    5. Delitos contra la libertad sexual;EN EL EXTRANJERO;2020;42;0,00%
    5. Delitos contra la libertad sexual;EN EL EXTRANJERO;2018;42;-31,15%
    5. Delitos contra la libertad sexual;EN EL EXTRANJERO;2017;61;sin datos
    5. Delitos contra la libertad sexual;EXTREMADURA;2022;255;34,92%
    5. Delitos contra la libertad sexual;EXTREMADURA;2019;189;1,61%
    5. Delitos contra la libertad sexual;EXTREMADURA;2021;186;0,00%
    5. Delitos contra la libertad sexual;EXTREMADURA;2020;186;-13,08%
    5. Delitos contra la libertad sexual;EXTREMADURA;2018;214;39,87%
    5. Delitos contra la libertad sexual;EXTREMADURA;2017;153;sin datos
    5. Delitos contra la libertad sexual;GALICIA;2022;648;19,12%
    5. Delitos contra la libertad sexual;GALICIA;2019;544;-12,12%
    5. Delitos contra la libertad sexual;GALICIA;2021;619;11,73%
    5. Delitos contra la libertad sexual;GALICIA;2020;554;2,59%
    5. Delitos contra la libertad sexual;GALICIA;2018;540;17,65%
    5. Delitos contra la libertad sexual;GALICIA;2017;459;sin datos
    5. Delitos contra la libertad sexual;MADRID (COMUNIDAD DE);2022;2467;25,42%
    5. Delitos contra la libertad sexual;MADRID (COMUNIDAD DE);2019;1967;-9,73%
    5. Delitos contra la libertad sexual;MADRID (COMUNIDAD DE);2021;2179;9,50%
    5. Delitos contra la libertad sexual;MADRID (COMUNIDAD DE);2020;1990;-1,34%
    5. Delitos contra la libertad sexual;MADRID (COMUNIDAD DE);2018;2017;13,57%
    5. Delitos contra la libertad sexual;MADRID (COMUNIDAD DE);2017;1776;sin datos
    5. Delitos contra la libertad sexual;MURCIA (REGIÓN DE);2022;574;22,13%
    5. Delitos contra la libertad sexual;MURCIA (REGIÓN DE);2019;470;-15,47%
    5. Delitos contra la libertad sexual;MURCIA (REGIÓN DE);2021;556;9,02%
    5. Delitos contra la libertad sexual;MURCIA (REGIÓN DE);2020;510;6,47%
    5. Delitos contra la libertad sexual;MURCIA (REGIÓN DE);2018;479;22,51%
    5. Delitos contra la libertad sexual;MURCIA (REGIÓN DE);2017;391;sin datos
    5. Delitos contra la libertad sexual;NAVARRA (COMUNIDAD FORAL DE);2022;322;65,13%
    5. Delitos contra la libertad sexual;NAVARRA (COMUNIDAD FORAL DE);2019;195;-18,75%
    5. Delitos contra la libertad sexual;NAVARRA (COMUNIDAD FORAL DE);2021;240;-0,41%
    5. Delitos contra la libertad sexual;NAVARRA (COMUNIDAD FORAL DE);2020;241;-11,07%
    5. Delitos contra la libertad sexual;NAVARRA (COMUNIDAD FORAL DE);2018;271;16,81%
    5. Delitos contra la libertad sexual;NAVARRA (COMUNIDAD FORAL DE);2017;232;sin datos
    5. Delitos contra la libertad sexual;PAÍS VASCO;2022;757;27,87%
    5. Delitos contra la libertad sexual;PAÍS VASCO;2019;592;-8,22%
    5. Delitos contra la libertad sexual;PAÍS VASCO;2021;645;6,97%
    5. Delitos contra la libertad sexual;PAÍS VASCO;2020;603;-8,50%
    5. Delitos contra la libertad sexual;PAÍS VASCO;2018;659;31,80%
    5. Delitos contra la libertad sexual;PAÍS VASCO;2017;500;sin datos
    5. Delitos contra la libertad sexual;RIOJA (LA);2022;101;21,69%
    5. Delitos contra la libertad sexual;RIOJA (LA);2019;83;-9,78%
    5. Delitos contra la libertad sexual;RIOJA (LA);2021;92;-15,60%
    5. Delitos contra la libertad sexual;RIOJA (LA);2020;109;75,81%
    5. Delitos contra la libertad sexual;RIOJA (LA);2018;62;8,77%
    5. Delitos contra la libertad sexual;RIOJA (LA);2017;57;sin datos
    5. Delitos contra la libertad sexual;TOTAL NACIONAL;2022;17389;28,38%
    5. Delitos contra la libertad sexual;TOTAL NACIONAL;2019;13545;-11,98%
    5. Delitos contra la libertad sexual;TOTAL NACIONAL;2021;15388;16,22%
    5. Delitos contra la libertad sexual;TOTAL NACIONAL;2020;13240;-4,13%
    5. Delitos contra la libertad sexual;TOTAL NACIONAL;2018;13811;18,12%
    5. Delitos contra la libertad sexual;TOTAL NACIONAL;2017;11692;sin datos
    6. Robos con violencia e intimidación;ANDALUCÍA;2022;7360;0,79%
    6. Robos con violencia e intimidación;ANDALUCÍA;2019;7302;23,53%
    6. Robos con violencia e intimidación;ANDALUCÍA;2021;5911;13,50%
    6. Robos con violencia e intimidación;ANDALUCÍA;2020;5208;-27,19%
    6. Robos con violencia e intimidación;ANDALUCÍA;2018;7153;-6,72%
    6. Robos con violencia e intimidación;ANDALUCÍA;2017;7668;sin datos
    6. Robos con violencia e intimidación;ARAGÓN;2022;1198;15,97%
    6. Robos con violencia e intimidación;ARAGÓN;2019;1033;7,60%
    6. Robos con violencia e intimidación;ARAGÓN;2021;960;22,14%
    6. Robos con violencia e intimidación;ARAGÓN;2020;786;-15,48%
    6. Robos con violencia e intimidación;ARAGÓN;2018;930;16,54%
    6. Robos con violencia e intimidación;ARAGÓN;2017;798;sin datos
    6. Robos con violencia e intimidación;ASTURIAS (PRINCIPADO DE);2022;395;9,12%
    6. Robos con violencia e intimidación;ASTURIAS (PRINCIPADO DE);2019;362;22,71%
    6. Robos con violencia e intimidación;ASTURIAS (PRINCIPADO DE);2021;295;-7,52%
    6. Robos con violencia e intimidación;ASTURIAS (PRINCIPADO DE);2020;319;-10,39%
    6. Robos con violencia e intimidación;ASTURIAS (PRINCIPADO DE);2018;356;-4,04%
    6. Robos con violencia e intimidación;ASTURIAS (PRINCIPADO DE);2017;371;sin datos
    6. Robos con violencia e intimidación;BALEARS (ILLES);2022;1287;-2,05%
    6. Robos con violencia e intimidación;BALEARS (ILLES);2019;1314;46,65%
    6. Robos con violencia e intimidación;BALEARS (ILLES);2021;896;17,59%
    6. Robos con violencia e intimidación;BALEARS (ILLES);2020;762;-38,30%
    6. Robos con violencia e intimidación;BALEARS (ILLES);2018;1235;-8,79%
    6. Robos con violencia e intimidación;BALEARS (ILLES);2017;1354;sin datos
    6. Robos con violencia e intimidación;CANARIAS;2022;1617;5,34%
    6. Robos con violencia e intimidación;CANARIAS;2019;1535;16,64%
    6. Robos con violencia e intimidación;CANARIAS;2021;1316;12,10%
    6. Robos con violencia e intimidación;CANARIAS;2020;1174;-21,47%
    6. Robos con violencia e intimidación;CANARIAS;2018;1495;4,11%
    6. Robos con violencia e intimidación;CANARIAS;2017;1436;sin datos
    6. Robos con violencia e intimidación;CANTABRIA;2022;246;10,31%
    6. Robos con violencia e intimidación;CANTABRIA;2019;223;14,95%
    6. Robos con violencia e intimidación;CANTABRIA;2021;194;8,38%
    6. Robos con violencia e intimidación;CANTABRIA;2020;179;-0,56%
    6. Robos con violencia e intimidación;CANTABRIA;2018;180;-15,89%
    6. Robos con violencia e intimidación;CANTABRIA;2017;214;sin datos
    6. Robos con violencia e intimidación;CASTILLA - LA MANCHA;2022;903;-7,67%
    6. Robos con violencia e intimidación;CASTILLA - LA MANCHA;2019;978;10,88%
    6. Robos con violencia e intimidación;CASTILLA - LA MANCHA;2021;882;16,67%
    6. Robos con violencia e intimidación;CASTILLA - LA MANCHA;2020;756;-22,30%
    6. Robos con violencia e intimidación;CASTILLA - LA MANCHA;2018;973;-5,17%
    6. Robos con violencia e intimidación;CASTILLA - LA MANCHA;2017;1026;sin datos
    6. Robos con violencia e intimidación;CASTILLA Y LEÓN;2022;721;2,12%
    6. Robos con violencia e intimidación;CASTILLA Y LEÓN;2019;706;12,96%
    6. Robos con violencia e intimidación;CASTILLA Y LEÓN;2021;625;15,53%
    6. Robos con violencia e intimidación;CASTILLA Y LEÓN;2020;541;-23,80%
    6. Robos con violencia e intimidación;CASTILLA Y LEÓN;2018;710;-2,20%
    6. Robos con violencia e intimidación;CASTILLA Y LEÓN;2017;726;sin datos
    6. Robos con violencia e intimidación;CATALUÑA;2022;25064;-5,23%
    6. Robos con violencia e intimidación;CATALUÑA;2019;26448;29,01%
    6. Robos con violencia e intimidación;CATALUÑA;2021;20501;20,02%
    6. Robos con violencia e intimidación;CATALUÑA;2020;17082;-24,10%
    6. Robos con violencia e intimidación;CATALUÑA;2018;22506;9,17%
    6. Robos con violencia e intimidación;CATALUÑA;2017;20615;sin datos
    6. Robos con violencia e intimidación;CIUDAD AUTÓNOMA DE CEUTA;2022;107;-27,21%
    6. Robos con violencia e intimidación;CIUDAD AUTÓNOMA DE CEUTA;2019;147;-24,62%
    6. Robos con violencia e intimidación;CIUDAD AUTÓNOMA DE CEUTA;2021;195;54,76%
    6. Robos con violencia e intimidación;CIUDAD AUTÓNOMA DE CEUTA;2020;126;-16,00%
    6. Robos con violencia e intimidación;CIUDAD AUTÓNOMA DE CEUTA;2018;150;14,50%
